VendorNumber,VendorName,Brand,Purchaseprice,Volume,ActualPrice,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreighhtCost,GrossProfit,ProfitMargin,StockTurnover,SalestoPurchaseRatio
8112,MOET HENNESSY USA INC,7865,23.97,750.0,34.99,3150.0,75505.50000000006,146.0,5486.539999999991,3377.0999999999926,16.19999999999999,48347.26,-70018.96000000006,-92.73358894385179,0.04634920634920635,0.0726641105614821
17035,PERNOD RICARD USA,5365,14.84,750.0,18.99,4887.0,72523.0800000001,777.0,15456.22999999991,7537.209999999941,611.6000000000006,123780.21999999997,-57066.850000000195,-78.68784668273895,0.15899324739103746,0.21312153317261054
1128,BROWN-FORMAN CORP,811,19.84,1000.0,29.99,3596.0,71344.6400000001,400.0,12551.99999999997,4438.589999999984,420.0000000000005,68601.68000000001,-58792.64000000013,-82.40652696544555,0.11123470522803114,0.17593473034554458
2000,SOUTHERN WINE & SPIRITS NE,27854,10.2,750.0,14.99,6978.0,71175.59999999996,249.0,4230.509999999989,1834.9200000000008,27.75999999999996,19016.59,-66945.08999999997,-94.05623556387302,0.03568357695614789,0.059437644361269755
3960,DIAGEO NORTH AMERICA INC,2752,26.31,750.0,38.99,2688.0,70721.28000000017,256.0,8957.439999999968,5808.339999999977,201.73999999999984,257032.07000000007,-61763.84000000021,-87.3341658974499,0.09523809523809523,0.12665834102550103
11567,CAMPARI AMERICA,3826,15.74,1750.0,19.99,4259.0,67036.65999999996,748.0,18167.519999999964,7936.749999999948,1374.259999999998,20964.809999999998,-48869.14,-72.8991271343173,0.17562808170932143,0.2710087286568271
1392,CONSTELLATION BRANDS INC,2114,9.41,1750.0,12.99,7112.0,66923.92000000019,1763.0,22901.370000000104,5923.439999999936,3239.1600000000226,79528.99,-44022.55000000008,-65.77999316238493,0.24789088863892014,0.3422000683761507
1128,BROWN-FORMAN CORP,2760,28.02,1750.0,38.99,2375.0,66547.50000000007,224.0,8677.759999999975,5892.479999999979,411.6899999999992,68601.68000000001,-57869.7400000001,-86.9600510913258,0.09431578947368421,0.13039948908674204
8112,MOET HENNESSY USA INC,5342,19.85,750.0,28.99,3311.0,65723.34999999986,387.0,11167.129999999952,7130.5299999999625,304.82,48347.26,-54556.21999999991,-83.00888497010578,0.11688311688311688,0.1699111502989421
17035,PERNOD RICARD USA,5734,15.82,1750.0,21.99,4016.0,63533.11999999948,557.0,12248.429999999955,5519.489999999966,1023.4300000000012,123780.21999999997,-51284.68999999952,-80.72118920021548,0.13869521912350596,0.19278810799784515
3960,DIAGEO NORTH AMERICA INC,8082,21.73,1750.0,33.99,2876.0,62495.479999999974,535.0,19338.65000000002,10608.179999999951,983.1900000000018,257032.07000000007,-43156.82999999996,-69.05592212428799,0.1860222531293463,0.30944077875712017
8004,SAZERAC CO INC,3522,9.62,1750.0,12.99,6455.0,62097.100000000086,1267.0,16458.329999999914,5247.959999999947,2327.8100000000036,50293.62000000002,-45638.77000000017,-73.49581542455302,0.196281951975213,0.2650418457544699
3960,DIAGEO NORTH AMERICA INC,2432,17.59,750.0,22.99,3471.0,61054.89000000005,613.0,15611.869999999924,8294.749999999947,482.6400000000014,257032.07000000007,-45443.02000000013,-74.42977949841543,0.17660616537021032,0.2557022050158458
660,SAZERAC NORTH AMERICA INC.,2127,7.19,1750.0,10.49,8358.0,60094.019999999866,2044.0,21441.560000000038,4856.8699999999435,3755.3700000000194,17932.329999999994,-38652.45999999983,-64.31997726229652,0.24455611390284757,0.35680022737703493
3924,HEAVEN HILL DISTILLERIES,3243,8.26,1750.0,10.49,7006.0,57869.559999999976,887.0,10850.629999999937,4487.339999999958,1629.6899999999966,14069.869999999995,-47018.93000000004,-81.24984879788279,0.12660576648586924,0.18750151202117213
1485,CASTLE BRANDS CORP.,4225,18.37,1750.0,24.99,3137.0,57626.69000000008,266.0,6647.339999999983,3723.5099999999857,488.819999999999,8497.589999999998,-50979.3500000001,-88.46482419864827,0.08479438954415046,0.11535175801351723
17035,PERNOD RICARD USA,3625,12.59,750.0,16.99,4475.0,56340.2500000002,655.0,11783.449999999935,5414.98999999996,515.7300000000014,123780.21999999997,-44556.800000000265,-79.0852010773827,0.1463687150837989,0.209147989226173
4425,MARTIGNETTI COMPANIES,43872,12.66,750.0,18.99,4445.0,56273.69999999993,223.0,4457.76999999999,2038.9800000000007,24.84999999999997,144929.24,-51815.92999999994,-92.07841318413398,0.05016872890888639,0.07921586815866019
3960,DIAGEO NORTH AMERICA INC,8178,18.51,750.0,25.99,3036.0,56196.360000000095,472.0,12299.279999999948,6285.589999999966,371.6000000000003,257032.07000000007,-43897.08000000015,-78.11374259827518,0.155467720685112,0.2188625740172482
3960,DIAGEO NORTH AMERICA INC,2418,16.53,750.0,22.99,3366.0,55639.98000000011,409.0,9364.909999999963,4988.819999999972,322.23000000000025,257032.07000000007,-46275.07000000015,-83.16873945677202,0.12150920974450387,0.16831260543227988
480,BACARDI USA INC,3344,14.49,750.0,19.99,3828.0,55467.7199999999,326.0,7116.73999999997,4445.959999999977,256.80999999999943,89286.26999999999,-48350.97999999993,-87.16958259686899,0.0851619644723093,0.12830417403131014
2000,SOUTHERN WINE & SPIRITS NE,10058,9.26,750.0,13.99,5981.0,55384.06000000001,265.0,3972.349999999991,1963.690000000001,29.509999999999962,19016.59,-51411.71000000002,-92.82762946595106,0.04430697207824778,0.07172370534048948
3960,DIAGEO NORTH AMERICA INC,2753,44.77,1750.0,59.99,1225.0,54843.25000000006,97.0,6669.029999999988,5371.219999999989,178.33000000000013,257032.07000000007,-48174.220000000074,-87.83983443723707,0.07918367346938776,0.1216016556276293
10000,MAJESTIC FINE WINES,6570,6.77,750.0,10.99,8090.0,54769.300000000025,1459.0,19171.12999999999,4233.129999999967,163.6200000000005,17587.59,-35598.170000000035,-64.99657654927124,0.1803461063040791,0.3500342345072875
3960,DIAGEO NORTH AMERICA INC,8778,37.29,1750.0,49.99,1464.0,54592.55999999996,96.0,4757.039999999991,3766.2399999999925,176.48000000000013,257032.07000000007,-49835.51999999997,-91.28628516413227,0.06557377049180328,0.08713714835867734
12546,JIM BEAM BRANDS COMPANY,1345,28.45,750.0,37.99,1912.0,54396.39999999987,164.0,6378.359999999985,4198.919999999988,129.25000000000017,123880.96999999999,-48018.039999999884,-88.27429756380937,0.08577405857740586,0.11725702436190631
1392,CONSTELLATION BRANDS INC,6650,7.38,750.0,14.99,7255.0,53541.89999999992,1621.0,17858.78999999998,3427.9099999999744,181.85000000000042,79528.99,-35683.10999999994,-66.6452068380091,0.22343211578221917,0.333547931619909
1392,CONSTELLATION BRANDS INC,3913,14.28,1750.0,17.99,3736.0,53350.08000000018,1025.0,18439.749999999978,6818.209999999943,1883.159999999997,79528.99,-34910.3300000002,-65.43632174497223,0.2743576017130621,0.3456367825502777
480,BACARDI USA INC,126,20.14,1000.0,32.99,2639.0,53149.45999999971,452.0,14443.479999999974,4720.549999999983,474.60000000000093,89286.26999999999,-38705.979999999734,-72.82478504955637,0.17127699886320577,0.2717521495044362
9165,ULTRA BEVERAGE COMPANY LLP,36378,6.83,1500.0,9.97,7701.0,52597.8300000001,1244.0,13671.559999999938,3780.559999999967,279.4400000000001,68054.70000000003,-38926.270000000164,-74.00736874506056,0.16153746266718608,0.25992631254939436
3960,DIAGEO NORTH AMERICA INC,3746,8.52,1750.0,12.99,6153.0,52423.56000000017,914.0,11872.859999999942,4403.6099999999615,1679.1499999999983,257032.07000000007,-40550.70000000023,-77.35205316083092,0.14854542499593695,0.22647946839169075
8112,MOET HENNESSY USA INC,3668,34.12,1750.0,42.99,1503.0,51282.360000000095,161.0,6921.389999999984,5330.759999999984,295.94999999999965,48347.26,-44360.97000000011,-86.50337074970814,0.10711909514304724,0.13496629250291856
3960,DIAGEO NORTH AMERICA INC,2443,13.48,1750.0,16.99,3783.0,50994.83999999989,514.0,10788.859999999951,5751.259999999962,944.34,257032.07000000007,-40205.97999999994,-78.84323198190253,0.13587100185038328,0.2115676801809747
7245,PROXIMO SPIRITS INC.,3776,18.56,1750.0,25.99,2746.0,50965.76000000017,287.0,7731.129999999972,4685.259999999979,527.439999999999,38994.78000000001,-43234.630000000194,-84.83073734209016,0.1045156591405681,0.15169262657909832
4425,MARTIGNETTI COMPANIES,11219,8.44,750.0,12.99,5990.0,50555.59999999988,1359.0,20323.409999999996,5539.28999999995,152.31000000000037,144929.24,-30232.189999999886,-59.79988369240985,0.22687813021702838,0.40200116307590145
1128,BROWN-FORMAN CORP,1545,19.42,750.0,29.99,2596.0,50414.32000000007,176.0,5188.239999999982,4135.599999999985,138.73000000000013,68601.68000000001,-45226.08000000009,-89.70879702433757,0.06779661016949153,0.1029120297566242
3960,DIAGEO NORTH AMERICA INC,497,14.7,1000.0,19.99,3424.0,50332.80000000008,526.0,10514.73999999998,2298.849999999998,552.3000000000001,257032.07000000007,-39818.0600000001,-79.10956672388588,0.1536214953271028,0.2089043327611411
8664,"STOLI GROUP,(USA) LLC",3630,19.83,1750.0,24.99,2413.0,47849.790000000175,397.0,10633.029999999962,6109.7199999999675,729.4599999999996,18544.489999999998,-37216.76000000021,-77.77831417859949,0.16452548694571073,0.2222168582140052
3960,DIAGEO NORTH AMERICA INC,1883,13.23,1750.0,17.99,3592.0,47522.1599999999,620.0,11153.799999999954,5289.059999999961,1139.1499999999999,257032.07000000007,-36368.35999999995,-76.52926550476667,0.17260579064587972,0.23470734495233334
2000,SOUTHERN WINE & SPIRITS NE,31915,8.27,750.0,12.99,5680.0,46973.600000000006,195.0,2533.0499999999965,1169.1000000000006,21.729999999999976,19016.59,-44440.55000000001,-94.6075029378204,0.03433098591549296,0.05392497062179599
12546,JIM BEAM BRANDS COMPANY,5391,12.02,1750.0,15.99,3903.0,46914.06000000007,685.0,10953.149999999936,5388.6299999999555,1258.6199999999994,123880.96999999999,-35960.910000000134,-76.65273480913841,0.1755060210094799,0.23347265190861588
8004,SAZERAC CO INC,5105,14.81,1750.0,25.99,3140.0,46503.40000000011,228.0,5781.71999999998,3582.579999999987,419.01999999999913,50293.62000000002,-40721.68000000013,-87.56710262045362,0.07261146496815286,0.12432897379546369
17035,PERNOD RICARD USA,3728,18.93,1750.0,24.99,2424.0,45886.320000000334,367.0,9506.329999999967,5256.969999999974,674.3599999999994,123780.21999999997,-36379.99000000037,-79.28286687622827,0.1514026402640264,0.20717133123771742
3089,SIDNEY FRANK IMPORTING CO,5445,11.76,750.0,15.99,3899.0,45852.24000000004,967.0,15462.329999999916,6028.229999999947,761.2000000000002,8549.550000000001,-30389.910000000127,-66.27791793814238,0.24801231084893563,0.33722082061857617
480,BACARDI USA INC,3348,22.38,1750.0,29.99,2042.0,45699.95999999997,387.0,13895.129999999946,8651.60999999996,711.1999999999996,89286.26999999999,-31804.830000000024,-69.59487491892781,0.18952007835455437,0.3040512508107218
3252,E & J GALLO WINERY,14006,5.44,750.0,9.99,8340.0,45369.599999999824,1629.0,16273.709999999921,4035.959999999958,182.67000000000087,61966.909999999996,-29095.889999999905,-64.13080564959802,0.19532374100719424,0.35869194350401995
480,BACARDI USA INC,3857,38.27,1750.0,49.99,1170.0,44775.900000000016,289.0,16336.109999999966,9089.399999999974,531.149999999999,89286.26999999999,-28439.79000000005,-63.515842227627004,0.24700854700854702,0.36484157772372994
17035,PERNOD RICARD USA,2932,24.61,750.0,31.99,1818.0,44740.97999999994,146.0,4670.539999999986,4094.7199999999866,115.1800000000002,123780.21999999997,-40070.43999999995,-89.56093496387429,0.08030803080308031,0.10439065036125701
17035,PERNOD RICARD USA,482,14.28,1000.0,21.99,3101.0,44282.28000000013,460.0,10027.399999999972,3564.3599999999856,483.0000000000008,123780.21999999997,-34254.88000000016,-77.35572784418521,0.14833924540470816,0.22644272155814793
3924,HEAVEN HILL DISTILLERIES,1180,13.07,1750.0,16.99,3383.0,44215.80999999954,602.0,10934.979999999945,5513.969999999959,1106.1600000000008,14069.869999999995,-33280.829999999594,-75.26907230694167,0.17794856636121786,0.2473092769305834
